年,月,地域区分,データ区分,都道府県コード,都道府県名,地域コード,地域名称,人数
2021,1,市区町村,観光来訪者数,17,石川県,17384,志賀町,9475
2021,2,市区町村,観光来訪者数,17,石川県,17384,志賀町,13926
2021,3,市区町村,観光来訪者数,17,石川県,17384,志賀町,17169
2021,4,市区町村,観光来訪者数,17,石川県,17384,志賀町,18772
2021,5,市区町村,観光来訪者数,17,石川県,17384,志賀町,27003
2021,6,市区町村,観光来訪者数,17,石川県,17384,志賀町,14317
2021,7,市区町村,観光来訪者数,17,石川県,17384,志賀町,22466
2021,8,市区町村,観光来訪者数,17,石川県,17384,志賀町,24302
2021,9,市区町村,観光来訪者数,17,石川県,17384,志賀町,20592
2021,10,市区町村,観光来訪者数,17,石川県,17384,志賀町,28555
2021,11,市区町村,観光来訪者数,17,石川県,17384,志賀町,26943
2021,12,市区町村,観光来訪者数,17,石川県,17384,志賀町,13918
2022,1,市区町村,観光来訪者数,17,石川県,17384,志賀町,12540
2022,2,市区町村,観光来訪者数,17,石川県,17384,志賀町,11160
2022,3,市区町村,観光来訪者数,17,石川県,17384,志賀町,18923
2022,4,市区町村,観光来訪者数,17,石川県,17384,志賀町,25111
2022,5,市区町村,観光来訪者数,17,石川県,17384,志賀町,43971
2022,6,市区町村,観光来訪者数,17,石川県,17384,志賀町,15868
2022,7,市区町村,観光来訪者数,17,石川県,17384,志賀町,20089
2022,8,市区町村,観光来訪者数,17,石川県,17384,志賀町,26902
2022,9,市区町村,観光来訪者数,17,石川県,17384,志賀町,29439
2022,10,市区町村,観光来訪者数,17,石川県,17384,志賀町,30558
2022,11,市区町村,観光来訪者数,17,石川県,17384,志賀町,29513
2022,12,市区町村,観光来訪者数,17,石川県,17384,志賀町,14317
2023,1,市区町村,観光来訪者数,17,石川県,17384,志賀町,9902
2023,2,市区町村,観光来訪者数,17,石川県,17384,志賀町,12660
2023,3,市区町村,観光来訪者数,17,石川県,17384,志賀町,19536
2023,4,市区町村,観光来訪者数,17,石川県,17384,志賀町,25222
2023,5,市区町村,観光来訪者数,17,石川県,17384,志賀町,41998
2023,6,市区町村,観光来訪者数,17,石川県,17384,志賀町,22320
2023,7,市区町村,観光来訪者数,17,石川県,17384,志賀町,25410
2023,8,市区町村,観光来訪者数,17,石川県,17384,志賀町,38115
2023,9,市区町村,観光来訪者数,17,石川県,17384,志賀町,28361
2023,10,市区町村,観光来訪者数,17,石川県,17384,志賀町,26646
2023,11,市区町村,観光来訪者数,17,石川県,17384,志賀町,24698
2023,12,市区町村,観光来訪者数,17,石川県,17384,志賀町,12589
2024,1,市区町村,観光来訪者数,17,石川県,17384,志賀町,17933
2024,2,市区町村,観光来訪者数,17,石川県,17384,志賀町,19923
2024,3,市区町村,観光来訪者数,17,石川県,17384,志賀町,28970
2024,4,市区町村,観光来訪者数,17,石川県,17384,志賀町,28100
2024,5,市区町村,観光来訪者数,17,石川県,17384,志賀町,29893
2024,6,市区町村,観光来訪者数,17,石川県,17384,志賀町,19912
2024,7,市区町村,観光来訪者数,17,石川県,17384,志賀町,21486
2024,8,市区町村,観光来訪者数,17,石川県,17384,志賀町,29645
2024,9,市区町村,観光来訪者数,17,石川県,17384,志賀町,24066
2024,10,市区町村,観光来訪者数,17,石川県,17384,志賀町,24286
2024,11,市区町村,観光来訪者数,17,石川県,17384,志賀町,18297
2024,12,市区町村,観光来訪者数,17,石川県,17384,志賀町,15997
2025,1,市区町村,観光来訪者数,17,石川県,17384,志賀町,16263
2025,2,市区町村,観光来訪者数,17,石川県,17384,志賀町,8689
2025,3,市区町村,観光来訪者数,17,石川県,17384,志賀町,18921
2025,4,市区町村,観光来訪者数,17,石川県,17384,志賀町,25974
2025,5,市区町村,観光来訪者数,17,石川県,17384,志賀町,38870
2025,6,市区町村,観光来訪者数,17,石川県,17384,志賀町,28594
2025,7,市区町村,観光来訪者数,17,石川県,17384,志賀町,21120
2025,8,市区町村,観光来訪者数,17,石川県,17384,志賀町,33266
2025,9,市区町村,観光来訪者数,17,石川県,17384,志賀町,27122
2025,10,市区町村,観光来訪者数,17,石川県,17384,志賀町,25445
2025,11,市区町村,観光来訪者数,17,石川県,17384,志賀町,28440
2025,12,市区町村,観光来訪者数,17,石川県,17384,志賀町,18403
