名称,名称_カナ,名称_英語,所在地_連結標記,設置位置,緯度,経度,男性トイレ総数,女性トイレ総数,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無
道の駅とぎ海街道,ミチノエキトギウミカイドウ,michinoekitogiumikaido,石川県羽咋郡志賀町富来領家町タ2-11,駐車場入口横,37.140558,136.725355,4,4,2,有,無,有
高浜バスターミナル,タカハマバスターミナル,takahamabasutaminaru,石川県羽咋郡志賀町高浜町ク50-4,待合室横,37.004365,136.775708,5,2,1,有,無,無
せせらぎ自然公園,セセラギシゼンコウエン,seseragishizenkoen,石川県羽咋郡志賀町直海な1,公園内,37.077178,136.774429,3,2,1,有,無,無
柴木総合公園,シバキソウゴウコウエン,shibakisogokoen,石川県羽咋郡志賀町高浜町ヨ1-1,公園内,37.009984,136.776886,3,1,1,有,有,無
みらいとうぶ公園,ミライトウブコウエン,miraitobukoen,石川県羽咋郡志賀町福野耕500-1,駐車場付近,37.002465,136.78449,3,2,1,有,有,有
志賀ロードパーク,シカロードパーク,shikarodopaku,石川県羽咋郡志賀町堀松5-38-11,駐車場付近,37.031327,136.780948,3,2,1,有,無,無
巌門クリフパーク（牛下）,ガンモンクリフパーク,gammonkurifupaku,石川県羽咋郡志賀町牛下チ6-1,駐車場付近,37.099246,136.730677,3,2,2,有,無,無
巌門クリフパーク（巌門）,ガンモンクリフパーク,gammonkurifupaku,石川県羽咋郡志賀町牛下ル6-2,駐車場付近,37.095368,136.728062,5,4,1,有,無,無
笹波美知の駅,ササナミミチノエキ,sasanamimichinoeki,石川県羽咋郡志賀町笹波ス18-1,敷地内,37.217721,136.696567,2,2,0,無,無,無
米町休憩所（自転車休憩施設）,コンマチキュウケイジョ,kommachikyukeijo,石川県羽咋郡志賀町米町タ28-22,敷地内,37.058105,136.778501,4,2,0,無,無,無
三明休憩所（自転車休憩施設）,サンミョウキュウケイジョ,sammyokyukeijo,石川県羽咋郡志賀町三明チ47-5,駐車場付近,37.090173,136.764902,4,2,0,無,無,無
甘田農村公園,アマダノウソンコウエン,amadanosonkoen,石川県羽咋郡志賀町甘田ロ24-2,公園内,36.968727,136.77375,0,0,0,無,無,無
代田農村公園,シナンタノウソンコウエン,shinantanosonkoen,石川県羽咋郡志賀町代田ル17,公園内,37.055324,136.818767,0,0,0,無,無,無
徳田農村公園,トクダノウソンコウエン,tokudanosonkoen,石川県羽咋郡志賀町徳田れ20-2,公園内,37.051313,136.832427,0,0,0,無,無,無
風戸農村公園,フトノウソンコウエン,futonosonkoen,石川県羽咋郡志賀町西海風戸改135,公園内,37.14137,136.692811,0,0,0,無,無,無
西浦農村公園,ニシウラノウソンコウエン,nishiuranosonkoen,石川県羽咋郡志賀町鹿頭へ144,公園内,37.181566,136.680602,2,1,0,無,無,無
滝ノ澗公園,タキノマコウエン,takinomakoen,石川県羽咋郡志賀町西海風無ソ65番合併,公園内,37.141328,136.685855,1,0,0,無,無,無
増穂浦林間広場管理棟,マスホウラリンカンヒロバカンリトウ,masuhorarinkanhirobakanrito,石川県羽咋郡志賀町富来領家町甲24-1,管理棟内,37.141892,136.723356,2,2,0,無,無,無
荒木ケ丘山村広場,アラキガオカサンソンヒロバ,arakigaokasansonhiroba,石川県羽咋郡志賀町富来地頭町9字-38,広場内,37.134798,136.731268,4,3,0,無,無,無
志賀町テニスコート,シカマチテニスコート,shikamachitenisukoto,石川県羽咋郡志賀町矢蔵谷ラ2-82,管理棟横,37.018146,136.768038,3,2,1,有,無,無
志賀町陸上競技場,シカマチリクジョウキョウギジョウ,shikamachirikujokyogijo,石川県羽咋郡志賀町町ヘ1-1,入口横,37.023521,136.762693,6,4,1,有,有,有
ニュースポーツの丘,ニュースポーツノオカ,nyusupotsunoka,石川県羽咋郡志賀町字安部屋亥の部,物置横,37.025476,136.761076,2,1,0,無,無,無
福浦みなと会館,フクラミナトカイカン,fukuraminatokaikan,石川県羽咋郡志賀町福浦港浦42-1,会館内,37.081454,136.723837,4,3,0,無,無,無
